id,nom,conssomation en kWh,Temps d'utilisation de l'appareil,image
1,Machine à laver,1,30min / 1 cycle,https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/machine_a_laver.jpg?alt=media&token=c92f5a63-6722-4266-97dc-6c5d0bed9014
2,Sèche linge,"2,4",1 cycle,https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/seche_linge.jpg?alt=media&token=c2cf4ea2-3b66-4477-8715-fed63825cbcf
3,ampoule à incandescence de 60 watts,"0,2",3h,https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/ampoule_%C3%A0_incandescence_de_60_watts.jpg?alt=media&token=24dfacde-0c11-4765-9730-fbe3569f910c
4,ampoule à DEL ,"0,2",20h,https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/ampoule_%C3%A0_DEL_de_10_watts.jpg?alt=media&token=db38f1ee-45d2-4b0d-a1fa-0aea9ed3b4f8
5,TV LCD,1,9h,https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/TV_LCD.jpg?alt=media&token=d2feb725-26ce-4ab8-927a-c6161a593f3a
6,Chauffage (2 radiateur),1,20min,https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/Chauffage.jpg?alt=media&token=82f43cbe-f396-4920-8bd6-e484dcf6007a
7,Téléphone portable,1,50 cycle de recharge,https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/T%C3%A9l%C3%A9phone_portable.jpg?alt=media&token=da747d56-7724-4a50-86c1-463e6adc7874
8,Aspirateur,1,1h15,https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/Aspirateur.jpg?alt=media&token=df4bd194-0ece-49b5-9833-0bd774200533
9,Console de jeux de nouvelle génération,1,laissée inutilement allumée durant une nuit,https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/Console_de_jeux_de_nouvelle_g%C3%A9n%C3%A9ration.jpg?alt=media&token=86ce1c70-189e-4cba-9535-f8e8ab86d75c
10,Piscine,1,1h30 pompe pour filtre de piscine hors terre ,https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/Piscine.jpg?alt=media&token=4c483200-d16d-4e6d-9fa0-22e902b190a5
11,Climatisation,1,"1h avec un climatiseur 
de 12 000 Btu/hr et un EER 12",https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/Climatisation.jpg?alt=media&token=cb9b4355-8c5c-41be-a6fd-be1d2f979614
12,Douche,1,"une douche de seulement (4 minutes)*
*utilisation d’une pomme de douche standard 
avec un débit de 9,5 l/min",https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/Douche.jpg?alt=media&token=d1209da0-6dfb-4a75-a1d1-2b9ba7e032c8
13,"Sèche-cheveux (1500 watts)
","1,5",40 min,https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/S%C3%A8che_cheveux_1500_watts.jpg?alt=media&token=050b7b77-607e-47e5-ae24-b8adb3856a75
14,Four à 200 degree C,1,1h,https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/Four.jpg?alt=media&token=fc1bc282-a537-43e7-9744-b316bb3c9f0c
15,Four à micro-ondes,1,1h,https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/Four_%C3%A0_micro_ondes.jpg?alt=media&token=755f9019-c903-4920-b3fa-0513a04a22f0
16,Réfrigirateur,1,20h,https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/R%C3%A9frigirateur.jpg?alt=media&token=420b5f6d-1944-4068-9498-334e456b9b04
17,Lave-vaisselle,1,40 min (moins d'un cycle),https://firebasestorage.googleapis.com/v0/b/veluqac3.appspot.com/o/Lave-vaisselle.jpg?alt=media&token=d82e8ced-528c-43f1-bd49-3d85659a88c1
